"Date(UTC)","UnixTimeStamp","Value"
"8/28/2016","1472342400","4865.2902"
"8/29/2016","1472428800","4814.9702"
"8/30/2016","1472515200","4812.1623"
"8/31/2016","1472601600","4912.9748"
"9/1/2016","1472688000","4966.2194"
"9/2/2016","1472774400","5019.0583"
"9/3/2016","1472860800","4789.3796"
"9/4/2016","1472947200","4635.7113"
"9/5/2016","1473033600","4827.2541"
"9/6/2016","1473120000","4792.9349"
"9/7/2016","1473206400","4926.6069"
"9/8/2016","1473292800","4824.1998"
"9/9/2016","1473379200","4852.4709"
"9/10/2016","1473465600","4908.3645"
"9/11/2016","1473552000","5077.4945"
"9/12/2016","1473638400","5053.5361"
"9/13/2016","1473724800","5041.1066"
"9/14/2016","1473811200","5182.9774"
"9/15/2016","1473897600","5178.7626"
"9/16/2016","1473984000","5166.6579"
"9/17/2016","1474070400","5341.3299"
"9/18/2016","1474156800","4904.1278"
"9/19/2016","1474243200","4750.3780"
"9/20/2016","1474329600","5422.6074"
"9/21/2016","1474416000","5525.5828"
"9/22/2016","1474502400","5071.3503"
"9/23/2016","1474588800","5305.6755"
"9/24/2016","1474675200","5103.0049"
"9/25/2016","1474761600","5555.4792"
"9/26/2016","1474848000","5200.9835"
"9/27/2016","1474934400","5120.3410"
"9/28/2016","1475020800","5846.2348"
"9/29/2016","1475107200","6022.4118"
"9/30/2016","1475193600","5880.2036"
"10/1/2016","1475280000","5152.6442"
"10/2/2016","1475366400","5483.6261"
"10/3/2016","1475452800","5953.6984"
"10/4/2016","1475539200","6202.7305"
"10/5/2016","1475625600","5577.4987"
"10/6/2016","1475712000","5922.4732"
"10/7/2016","1475798400","4970.4163"
"10/8/2016","1475884800","5604.5061"
"10/9/2016","1475971200","6061.2059"
"10/10/2016","1476057600","6191.8909"
"10/11/2016","1476144000","6396.5054"
"10/12/2016","1476230400","5894.3176"
"10/13/2016","1476316800","5992.5502"
"10/14/2016","1476403200","6610.6347"
"10/15/2016","1476489600","6775.8615"
"10/16/2016","1476576000","6765.6017"
"10/17/2016","1476662400","6470.6153"
"10/18/2016","1476748800","6728.4087"
"10/19/2016","1476835200","6385.8647"
"10/20/2016","1476921600","6900.1594"
"10/21/2016","1477008000","7307.9620"
"10/22/2016","1477094400","7382.1642"
"10/23/2016","1477180800","7219.1314"
"10/24/2016","1477267200","7277.3711"
"10/25/2016","1477353600","7459.7244"
"10/26/2016","1477440000","7503.7485"
"10/27/2016","1477526400","7438.5065"
"10/28/2016","1477612800","7120.6124"
"10/29/2016","1477699200","5695.7524"
"10/30/2016","1477785600","5454.2590"
"10/31/2016","1477872000","5869.6806"
"11/1/2016","1477958400","5051.2126"
"11/2/2016","1478044800","4531.1125"
"11/3/2016","1478131200","4313.7141"
"11/4/2016","1478217600","3971.1034"
"11/5/2016","1478304000","3751.7897"
"11/6/2016","1478390400","3688.7432"
"11/7/2016","1478476800","4362.9653"
"11/8/2016","1478563200","4893.0046"
"11/9/2016","1478649600","4786.7210"
"11/10/2016","1478736000","4399.0135"
"11/11/2016","1478822400","4285.9637"
"11/12/2016","1478908800","4355.3253"
"11/13/2016","1478995200","4718.0689"
"11/14/2016","1479081600","4872.7435"
"11/15/2016","1479168000","4926.4165"
"11/16/2016","1479254400","4858.6238"
"11/17/2016","1479340800","4660.1084"
"11/18/2016","1479427200","4933.6367"
"11/19/2016","1479513600","5252.2465"
"11/20/2016","1479600000","5747.4276"
"11/21/2016","1479686400","6067.3139"
"11/22/2016","1479772800","5664.3154"
"11/23/2016","1479859200","5299.0298"
"11/24/2016","1479945600","5416.4349"
"11/25/2016","1480032000","5623.5357"
"11/26/2016","1480118400","5881.8116"
"11/27/2016","1480204800","5584.1280"
"11/28/2016","1480291200","5765.2583"
"11/29/2016","1480377600","5881.2257"
"11/30/2016","1480464000","5904.5764"
"12/1/2016","1480550400","5991.9926"
"12/2/2016","1480636800","6073.4179"
"12/3/2016","1480723200","6099.6118"
"12/4/2016","1480809600","5331.2802"
"12/5/2016","1480896000","5198.7468"
"12/6/2016","1480982400","5148.7110"
"12/7/2016","1481068800","5264.3617"
"12/8/2016","1481155200","5523.1193"
"12/9/2016","1481241600","5658.9104"
"12/10/2016","1481328000","5798.2850"
"12/11/2016","1481414400","5946.0499"
"12/12/2016","1481500800","5719.9028"
"12/13/2016","1481587200","5874.6650"
"12/14/2016","1481673600","5861.5044"
"12/15/2016","1481760000","5827.1006"
"12/16/2016","1481846400","6031.5534"
"12/17/2016","1481932800","6102.0636"
"12/18/2016","1482019200","6284.0681"
"12/19/2016","1482105600","6324.8460"
"12/20/2016","1482192000","6478.8654"
"12/21/2016","1482278400","6449.9952"
"12/22/2016","1482364800","6219.3619"
"12/23/2016","1482451200","5797.7449"
"12/24/2016","1482537600","5435.8074"
"12/25/2016","1482624000","5672.4506"
"12/26/2016","1482710400","5906.7133"
"12/27/2016","1482796800","5725.5243"
"12/28/2016","1482883200","5703.5980"
"12/29/2016","1482969600","5621.4968"
"12/30/2016","1483056000","5670.0348"
"12/31/2016","1483142400","5739.8584"
"1/2/2017","1483315200","5772.7032"
"1/1/2017","1483228800","5746.3882"
"1/3/2017","1483401600","5701.1528"
"1/4/2017","1483488000","6330.7660"
"1/5/2017","1483574400","6451.8286"
"1/6/2017","1483660800","6519.8016"
"1/7/2017","1483747200","6730.0143"
"1/8/2017","1483833600","6777.3147"
"1/9/2017","1483920000","7001.3724"
"1/10/2017","1484006400","6997.2239"
"1/11/2017","1484092800","7054.4628"
"1/12/2017","1484179200","7142.7291"
"1/13/2017","1484265600","7277.2919"
"1/14/2017","1484352000","7334.4015"
"1/15/2017","1484438400","7443.4979"
"1/16/2017","1484524800","7416.8136"
"1/17/2017","1484611200","7325.2279"
"1/18/2017","1484697600","7318.3297"
"1/19/2017","1484784000","7751.0819"
"1/20/2017","1484870400","7527.1882"
"1/21/2017","1484956800","7733.7168"
"1/22/2017","1485043200","7754.1077"
"1/23/2017","1485129600","7918.1929"
"1/24/2017","1485216000","7831.2888"
"1/25/2017","1485302400","7811.0208"
"1/26/2017","1485388800","7995.4413"
"1/27/2017","1485475200","7965.2252"
"1/28/2017","1485561600","7948.4087"
"1/29/2017","1485648000","7806.1890"
"1/30/2017","1485734400","8008.7446"
"1/31/2017","1485820800","8035.4474"
"2/1/2017","1485907200","7882.0490"
"2/3/2017","1486080000","7901.9704"
"2/2/2017","1485993600","8117.6108"
"2/4/2017","1486166400","8085.6263"
"2/5/2017","1486252800","8480.8345"
"2/6/2017","1486339200","8517.0390"
"2/7/2017","1486425600","8437.3906"
